Similar voc size,Server voc size,Counter measure,Nr similar docs,Nr server docs,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Current refspeed,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc
500,500,none,20226,30338,75,15,41,1.0,3,0.9833333333333333,0.6833333333333333,0.9833333333333333
500,500,none,20226,30338,75,15,35,0.98,3,0.9833333333333333,0.5666666666666667,0.9833333333333333
500,500,none,20226,30338,75,15,37,1.0,3,0.95,0.6333333333333333,0.9333333333333333
500,500,none,20226,30338,75,15,46,1.0,3,0.9,0.8166666666666667,0.95
500,500,none,20226,30338,75,15,36,1.0,3,0.9333333333333333,0.6,0.9166666666666666
500,500,none,20226,30338,75,15,39,1.0,3,1.0,0.65,1.0
500,500,none,20226,30338,75,15,24,1.0,3,0.9666666666666667,0.4,0.9666666666666667
500,500,none,20226,30338,75,15,45,1.0,3,0.9666666666666667,0.75,0.9666666666666667
500,500,none,20226,30338,75,15,31,1.0,3,0.9166666666666666,0.5166666666666667,0.9166666666666666
500,500,none,20226,30338,75,15,37,1.0,3,0.95,0.6166666666666667,0.95
500,500,none,20226,30338,75,15,39,1.0,3,0.9833333333333333,0.65,0.9833333333333333
500,500,none,20226,30338,75,15,33,1.0,3,0.9833333333333333,0.55,0.9833333333333333
500,500,none,20226,30338,75,15,39,1.0,3,0.9833333333333333,0.6666666666666666,1.0
500,500,none,20226,30338,75,15,44,1.0,3,1.0,0.7333333333333333,1.0
500,500,none,20226,30338,75,15,34,0.9795918367346939,3,0.9333333333333333,0.55,0.9333333333333333
500,500,none,20226,30338,75,15,33,0.9791666666666666,3,0.9333333333333333,0.5333333333333333,0.95
500,500,none,20226,30338,75,15,34,0.9795918367346939,3,0.95,0.55,0.95
500,500,none,20226,30338,75,15,33,0.9791666666666666,3,0.9666666666666667,0.5333333333333333,0.9666666666666667
500,500,none,20226,30338,75,15,40,0.9818181818181818,3,0.9666666666666667,0.65,0.9833333333333333
500,500,none,20226,30338,75,15,40,1.0,3,0.9833333333333333,0.6666666666666666,0.9833333333333333
1000,1000,none,20226,30338,150,15,90,0.9904761904761905,7,0.9481481481481482,0.6592592592592592,0.9481481481481482
1000,1000,none,20226,30338,150,15,85,1.0,7,0.9703703703703703,0.6296296296296297,0.9703703703703703
1000,1000,none,20226,30338,150,15,90,0.9904761904761905,7,0.9333333333333333,0.6814814814814815,0.9333333333333333
1000,1000,none,20226,30338,150,15,79,0.9893617021276596,7,0.9629629629629629,0.5777777777777777,0.9629629629629629
1000,1000,none,20226,30338,150,15,64,0.9746835443037974,7,0.9037037037037037,0.4740740740740741,0.9037037037037037
1000,1000,none,20226,30338,150,15,70,0.9882352941176471,7,0.9407407407407408,0.5185185185185185,0.9407407407407408
1000,1000,none,20226,30338,150,15,98,1.0,7,0.9555555555555556,0.7407407407407407,0.9555555555555556
1000,1000,none,20226,30338,150,15,81,0.9895833333333334,7,0.9555555555555556,0.5925925925925926,0.9481481481481482
1000,1000,none,20226,30338,150,15,88,0.970873786407767,7,0.9481481481481482,0.6296296296296297,0.9481481481481482
1000,1000,none,20226,30338,150,15,74,1.0,7,0.9037037037037037,0.562962962962963,0.8962962962962963
1000,1000,none,20226,30338,150,15,79,1.0,7,0.9703703703703703,0.5925925925925926,0.9925925925925926
1000,1000,none,20226,30338,150,15,92,0.9906542056074766,7,0.9333333333333333,0.6814814814814815,0.9333333333333333
1000,1000,none,20226,30338,150,15,85,1.0,7,0.9555555555555556,0.6370370370370371,0.9777777777777777
1000,1000,none,20226,30338,150,15,89,0.9903846153846154,7,0.9185185185185185,0.6518518518518519,0.9185185185185185
1000,1000,none,20226,30338,150,15,83,0.9897959183673469,7,0.9777777777777777,0.6074074074074074,0.9777777777777777
1000,1000,none,20226,30338,150,15,77,1.0,7,0.9407407407407408,0.5925925925925926,0.9407407407407408
