Similar voc size,Server voc size,Counter measure,Nr similar docs,Nr server docs,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Current refspeed,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc
500,500,none,12044,18065,75,15,15,1.0,3,0.8833333333333333,0.25,0.8833333333333333
500,500,none,12044,18065,75,15,17,1.0,3,0.9166666666666666,0.2833333333333333,0.9166666666666666
500,500,none,12044,18065,75,15,13,0.9642857142857143,3,0.85,0.2,0.85
500,500,none,12044,18065,75,15,13,1.0,3,0.8833333333333333,0.21666666666666667,0.8833333333333333
500,500,none,12044,18065,75,15,14,1.0,3,0.9,0.23333333333333334,0.9166666666666666
500,500,none,12044,18065,75,15,7,0.9545454545454546,3,0.8833333333333333,0.1,0.8833333333333333
500,500,none,12044,18065,75,15,14,0.9310344827586207,3,0.9,0.23333333333333334,0.8833333333333333
500,500,none,12044,18065,75,15,9,1.0,3,0.9166666666666666,0.15,0.9
500,500,none,12044,18065,75,15,10,1.0,3,0.85,0.16666666666666666,0.8333333333333334
500,500,none,12044,18065,75,15,7,1.0,3,0.8833333333333333,0.11666666666666667,0.8833333333333333
500,500,none,12044,18065,75,15,16,0.967741935483871,3,0.9166666666666666,0.26666666666666666,0.8833333333333333
500,500,none,12044,18065,75,15,7,1.0,3,0.9333333333333333,0.11666666666666667,0.9333333333333333
500,500,none,12044,18065,75,15,16,1.0,3,0.9333333333333333,0.26666666666666666,0.9333333333333333
500,500,none,12044,18065,75,15,14,1.0,3,0.8666666666666667,0.25,0.8833333333333333
500,500,none,12044,18065,75,15,17,1.0,3,0.85,0.2833333333333333,0.85
500,500,none,12044,18065,75,15,11,0.9615384615384616,3,0.8666666666666667,0.16666666666666666,0.8666666666666667
500,500,none,12044,18065,75,15,16,1.0,3,0.8833333333333333,0.2833333333333333,0.9
500,500,none,12044,18065,75,15,19,1.0,3,0.9333333333333333,0.31666666666666665,0.9333333333333333
500,500,none,12044,18065,75,15,7,1.0,3,0.9,0.11666666666666667,0.8833333333333333
500,500,none,12044,18065,75,15,14,1.0,3,0.9333333333333333,0.23333333333333334,0.9333333333333333
1000,1000,none,12044,18065,150,15,22,1.0,7,0.8666666666666667,0.16296296296296298,0.8666666666666667
1000,1000,none,12044,18065,150,15,22,1.0,7,0.8592592592592593,0.16296296296296298,0.8666666666666667
1000,1000,none,12044,18065,150,15,15,0.9333333333333333,7,0.8296296296296296,0.0962962962962963,0.8444444444444444
1000,1000,none,12044,18065,150,15,27,1.0,7,0.8444444444444444,0.2,0.8444444444444444
1000,1000,none,12044,18065,150,15,20,0.9714285714285714,7,0.8296296296296296,0.14814814814814814,0.837037037037037
1000,1000,none,12044,18065,150,15,15,0.9666666666666667,7,0.8074074074074075,0.1037037037037037,0.8518518518518519
1000,1000,none,12044,18065,150,15,10,0.96,7,0.8518518518518519,0.06666666666666667,0.8666666666666667
1000,1000,none,12044,18065,150,15,27,0.9285714285714286,7,0.7481481481481481,0.18518518518518517,0.7851851851851852
1000,1000,none,12044,18065,150,15,20,0.9714285714285714,7,0.8074074074074075,0.14074074074074075,0.8074074074074075
1000,1000,none,12044,18065,150,15,11,0.9230769230769231,7,0.7555555555555555,0.06666666666666667,0.7555555555555555
1000,1000,none,12044,18065,150,15,15,0.9666666666666667,7,0.8888888888888888,0.1111111111111111,0.8740740740740741
1000,1000,none,12044,18065,150,15,14,0.9655172413793104,7,0.8222222222222222,0.0962962962962963,0.8148148148148148
1000,1000,none,12044,18065,150,15,13,0.9285714285714286,7,0.8074074074074075,0.08888888888888889,0.7851851851851852
1000,1000,none,12044,18065,150,15,7,0.9090909090909091,7,0.8222222222222222,0.037037037037037035,0.8296296296296296
1000,1000,none,12044,18065,150,15,10,1.0,7,0.8518518518518519,0.08888888888888889,0.8296296296296296
1000,1000,none,12044,18065,150,15,18,0.9696969696969697,7,0.8518518518518519,0.1259259259259259,0.8444444444444444
1000,1000,none,12044,18065,150,15,20,0.9714285714285714,7,0.8074074074074075,0.14814814814814814,0.8666666666666667
1000,1000,none,12044,18065,150,15,10,1.0,7,0.8518518518518519,0.07407407407407407,0.8592592592592593
1000,1000,none,12044,18065,150,15,11,0.9615384615384616,7,0.8814814814814815,0.07407407407407407,0.8740740740740741
1000,1000,none,12044,18065,150,15,18,1.0,7,0.8962962962962963,0.13333333333333333,0.8888888888888888
2000,2000,none,12044,18065,300,15,44,0.9322033898305084,15,0.7578947368421053,0.1543859649122807,0.7894736842105263
2000,2000,none,12044,18065,300,15,31,0.9565217391304348,15,0.6912280701754386,0.11929824561403508,0.712280701754386
2000,2000,none,12044,18065,300,15,30,0.9777777777777777,15,0.7403508771929824,0.10526315789473684,0.7543859649122807
2000,2000,none,12044,18065,300,15,17,0.96875,15,0.7228070175438597,0.05964912280701754,0.7684210526315789
2000,2000,none,12044,18065,300,15,44,0.9661016949152542,15,0.7333333333333333,0.1543859649122807,0.7368421052631579
2000,2000,none,12044,18065,300,15,20,0.9142857142857143,15,0.7017543859649122,0.06666666666666667,0.7368421052631579
2000,2000,none,12044,18065,300,15,12,1.0,15,0.712280701754386,0.04912280701754386,0.712280701754386
2000,2000,none,12044,18065,300,15,23,0.9210526315789473,15,0.7473684210526316,0.07719298245614035,0.7719298245614035
2000,2000,none,12044,18065,300,15,24,1.0,15,0.7964912280701755,0.08771929824561403,0.8210526315789474
2000,2000,none,12044,18065,300,15,35,0.98,15,0.7192982456140351,0.11929824561403508,0.6982456140350877
2000,2000,none,12044,18065,300,15,24,0.9743589743589743,15,0.6666666666666666,0.09473684210526316,0.6982456140350877
2000,2000,none,12044,18065,300,15,20,0.9714285714285714,15,0.7017543859649122,0.07368421052631578,0.7263157894736842
