Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
20226,30338,1200,1000,150,5,0.8206896551724138,0.1310344827586207,0.9724137931034482,0.9724137931034482
20226,30338,1200,1000,150,5,0.9310344827586207,0.2482758620689655,0.9586206896551724,0.9586206896551724
20226,30338,1200,1000,150,5,0.9172413793103448,0.06206896551724138,0.9448275862068966,0.9448275862068966
20226,30338,1200,1000,150,5,0.9655172413793104,0.06896551724137931,0.993103448275862,0.993103448275862
20226,30338,1200,1000,150,5,0.896551724137931,0.09655172413793103,0.9448275862068966,0.9448275862068966
20226,30338,1200,1000,150,5,0.9241379310344827,0.5310344827586206,0.9862068965517241,0.9862068965517241
20226,30338,1200,1000,150,5,0.9379310344827586,0.41379310344827586,0.9586206896551724,0.9586206896551724
20226,30338,1200,1000,150,5,0.896551724137931,0.08275862068965517,0.9586206896551724,0.9586206896551724
20226,30338,1200,1000,150,5,0.8,0.13793103448275862,0.9586206896551724,0.9586206896551724
20226,30338,1200,1000,150,5,0.9379310344827586,0.6137931034482759,0.9379310344827586,0.9379310344827586
20226,30338,1200,1000,150,5,0.8896551724137931,0.38620689655172413,0.9655172413793104,0.9655172413793104
20226,30338,1200,1000,150,5,0.9448275862068966,0.16551724137931034,0.9655172413793104,0.9655172413793104
20226,30338,1200,1000,150,5,0.8896551724137931,0.04827586206896552,0.9793103448275862,0.9793103448275862
20226,30338,1200,1000,150,5,0.9103448275862069,0.020689655172413793,0.9517241379310345,0.9517241379310345
20226,30338,1200,1000,150,5,0.7103448275862069,0.11724137931034483,0.9517241379310345,0.9517241379310345
20226,30338,1200,1000,150,5,0.7931034482758621,0.034482758620689655,0.9586206896551724,0.9724137931034482
20226,30338,1200,1000,150,5,0.9310344827586207,0.09655172413793103,0.9862068965517241,0.9793103448275862
20226,30338,1200,1000,150,5,0.9172413793103448,0.10344827586206896,0.9793103448275862,0.9793103448275862
20226,30338,1200,1000,150,5,0.9103448275862069,0.0896551724137931,0.9793103448275862,0.9862068965517241
20226,30338,1200,1000,150,5,0.9172413793103448,0.23448275862068965,0.9586206896551724,0.9586206896551724
20226,30338,1200,1000,150,10,0.9357142857142857,0.5642857142857143,0.9571428571428572,0.9642857142857143
20226,30338,1200,1000,150,10,0.9571428571428572,0.42142857142857143,0.9642857142857143,0.9642857142857143
20226,30338,1200,1000,150,10,0.9857142857142858,0.6357142857142857,0.9928571428571429,0.9928571428571429
20226,30338,1200,1000,150,10,0.9714285714285714,0.6714285714285714,0.9785714285714285,0.9785714285714285
20226,30338,1200,1000,150,10,0.95,0.5285714285714286,0.9571428571428572,0.9571428571428572
20226,30338,1200,1000,150,10,0.9642857142857143,0.6571428571428571,0.9714285714285714,0.9714285714285714
20226,30338,1200,1000,150,10,0.9785714285714285,0.65,0.9714285714285714,0.9785714285714285
20226,30338,1200,1000,150,10,0.95,0.6928571428571428,0.95,0.95
20226,30338,1200,1000,150,10,0.9428571428571428,0.5857142857142857,0.95,0.95
20226,30338,1200,1000,150,10,1.0,0.6714285714285714,1.0,1.0
20226,30338,1200,1000,150,10,0.9857142857142858,0.5571428571428572,0.9928571428571429,0.9928571428571429
20226,30338,1200,1000,150,10,0.9714285714285714,0.5928571428571429,0.9785714285714285,0.9785714285714285
20226,30338,1200,1000,150,10,0.9571428571428572,0.4928571428571429,0.9642857142857143,0.9642857142857143
20226,30338,1200,1000,150,10,0.95,0.6642857142857143,0.95,0.95
20226,30338,1200,1000,150,10,0.9785714285714285,0.5857142857142857,0.9642857142857143,0.9714285714285714
20226,30338,1200,1000,150,10,0.9571428571428572,0.5285714285714286,0.9571428571428572,0.9714285714285714
20226,30338,1200,1000,150,10,0.9714285714285714,0.5928571428571429,0.9714285714285714,0.9642857142857143
20226,30338,1200,1000,150,10,0.9642857142857143,0.5642857142857143,0.9642857142857143,0.9642857142857143
20226,30338,1200,1000,150,10,0.9428571428571428,0.44285714285714284,0.9428571428571428,0.95
20226,30338,1200,1000,150,10,0.9785714285714285,0.39285714285714285,0.9714285714285714,0.9642857142857143
20226,30338,1200,1000,150,20,0.9846153846153847,0.7,0.9692307692307692,0.9769230769230769
20226,30338,1200,1000,150,20,0.9615384615384616,0.6,0.9615384615384616,0.9615384615384616
20226,30338,1200,1000,150,20,0.9615384615384616,0.5615384615384615,0.9692307692307692,0.9692307692307692
20226,30338,1200,1000,150,20,0.9923076923076923,0.6692307692307692,0.9923076923076923,0.9923076923076923
