Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Current refspeed,Dynamic refspeeds,Runtime RefVolScore,Runtime ClusterVolScore,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
20226,30338,1200,1000,150,4,4,1.0,2,"[2, 1, 2, 1, 1, 6, 4, 2, 2, 5, 1, 7, 1, 5, 2, 1, 1, 9, 1, 9, 1, 1, 1, 2, 7, 2, 1, 9, 7, 6, 7, 7, 7, 7, 3, 5]",39.952523708343506,20.780760526657104,0.952054794520548,0.0273972602739726,0.952054794520548,0.9452054794520548
20226,30338,1200,1000,150,4,6,1.0,2,"[3, 2, 1, 1, 1, 3, 2, 6, 1, 4, 4, 7, 4, 10, 3, 1, 2, 1, 1, 1, 10, 2, 5, 2, 5, 6, 1, 1, 1, 10, 9, 8, 6, 6, 2]",38.04577136039734,18.403178930282593,0.9657534246575342,0.0410958904109589,0.9315068493150684,0.9315068493150684
20226,30338,1200,1000,150,4,89,1.0,2,"[3, 2, 2, 2, 3, 2, 1, 5, 1, 5, 8, 7, 6, 3]",17.831764221191406,9.555158376693726,0.9383561643835616,0.6232876712328768,0.9452054794520548,0.9452054794520548
20226,30338,1200,1000,150,4,76,0.9875,2,"[1, 1, 4, 2, 1, 8, 3, 1, 6, 1, 2, 9, 3, 5, 7, 1, 5, 9]",21.891010999679565,12.087434768676758,0.8972602739726028,0.5273972602739726,0.9246575342465754,0.9315068493150684
20226,30338,1200,1000,150,4,101,1.0,2,"[3, 2, 4, 1, 1, 10, 7, 9]",13.6160728931427,5.865624904632568,0.952054794520548,0.7123287671232876,0.9657534246575342,0.9657534246575342
20226,30338,1200,1000,150,4,82,1.0,2,"[1, 1, 1, 3, 5, 6, 1, 5, 8, 1, 2, 1, 1, 10, 10]",20.110302209854126,9.92273473739624,0.9657534246575342,0.5753424657534246,0.9863013698630136,0.9863013698630136
20226,30338,1200,1000,150,4,97,0.9900990099009901,2,"[1, 3, 1, 1, 2, 1, 7, 7, 9, 1, 2, 6]",14.99122667312622,8.2854905128479,0.9246575342465754,0.6917808219178082,0.9246575342465754,0.9246575342465754
20226,30338,1200,1000,150,4,57,1.0,2,"[1, 1, 8, 4, 1, 7, 2, 9, 6, 6, 2, 9, 9, 10, 7]",26.62581515312195,10.362545728683472,0.9794520547945206,0.3904109589041096,0.9726027397260274,0.9726027397260274
20226,30338,1200,1000,150,4,105,0.981651376146789,2,"[1, 1, 5, 3, 1, 10, 1, 6, 5]",13.31297492980957,6.738786458969116,0.9452054794520548,0.7123287671232876,0.9383561643835616,0.9383561643835616
20226,30338,1200,1000,150,4,110,0.9824561403508771,2,"[9, 1, 7, 8, 6]",11.791252374649048,4.3176329135894775,0.9246575342465754,0.773972602739726,0.9383561643835616,0.9383561643835616
